グラフ中のタイトルをsに設定する	plt.title(s)
黄色色でリストxdataについてのヒストグラムを描画する	plt.hist(xdata, color='yellow')
デックdeqをデキューする	deq.popleft()
リストxdataとリストydataについてティール色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='teal')
データ列dsの欠損値を平均値に設定する	ds.fillna(ds.mean())
破線グラフの色をオリーブに設定する	plt.plot(xdata, ydata, linestyle='dash', color='olive')
スプリンググリーン色の折れ線グラフを描画する	plt.plot(xdata, ydata, color='springgreen')
タプルatupleの末尾	atuple[-1]
タプルatupleの平均値	sum(atuple)/len(atuple)
カデットブルー色でリストxdataについてのヒストグラムを描画する	plt.hist(xdata, color='cadetblue')
ライトグレー色のマーカーで散布図を重なりを見やすく描画する	plt.plot(xdata, ydata, c='lightgrey', alpha=0.5)
リストxdataとリストydataについて折れ線グラフを描画して、その色をライトスカイブルーに設定する	plt.plot(xdata, ydata, color='lightskyblue')
データフレームdfのカラムcolの欠損値を中央値で埋める	df[col].fillna(df[col].median())
ラベンダー色のマーカーで散布図を描画する	plt.plot(xdata, ydata, c='lavender')
n個からn2個取り出したときの順列の総数	math.perm(n, n2)
ライトスチールブルー色でリストxdataについてのヒストグラムを描画する	plt.hist(xdata, color='lightsteelblue')
グレー色のマーカーで散布図を重なりを見やすく描画する	plt.plot(xdata, ydata, c='grey', alpha=0.5)
リストxdataとリストydataについての散布図をグリーンイエロー色で描画する	plt.plot(xdata, ydata, c='greenyellow')
ミディアムバイオレットレッド色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='mediumvioletred')
数式として、連立方程e=0,e2の解を求める	sympy.solve([e, e2])
リストxdataとリストydataについてミディアムバイオレットレッド色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='mediumvioletred')
リストxdataとリストydataについての散布図をスラグレー色で描画する	plt.plot(xdata, ydata, c='slategrey')
arrayをn個にビン分割して、namesのラベルをつける	pd.cut(array, n, labels=names)
データフレームdfのカラムcolとカラムcol2毎の標準偏差	df.groupby([col, col2], as_index=False).std()
フローラルホワイト色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='floralwhite')
sを黄色で表示する	print(f'\033[33m{s}\033[0m')
青色でリストxdataについてのヒストグラムを描画する	plt.hist(xdata, color='blue')
リストxdataとリストydataについての散布図をミディアムスプリンググリーン色で重なりを見やすく描画する	plt.plot(xdata, ydata, c='mediumspringgreen', alpha=0.5)
リストxdataとリストydataについて折れ線グラフを描画して、その色をブランチドアーモンドに設定する	plt.plot(xdata, ydata, color='blanchedalmond')
デックdeqの要素をインプレースに反転する	deq.reverse()
リストxdataとリストydataについて破線グラフを描画して、その色をオーキッドに設定する	plt.plot(xdata, ydata, linestyle='dash', color='orchid')
インディアンレッド色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='indianred')
リストxdataとリストydataについてダークサーモン色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='darksalmon')
リストxdataをnからn2の範囲でヒストグラムにする	plt.hist(xdata, range=(n, n2))
リストxdataとリストydataについての散布図をスチールブルー色で重なりを見やすく描画する	plt.plot(xdata, ydata, c='steelblue', alpha=0.5)
リストxdataとリストydataの折れ線グラフを描画して、マーカーを丸に設定する	plt.plot(xdata, ydata, marker='o')
リストalistの合計値	sum(alist)
sの中からs2を探す	s.find(s2)
ラベンダー色のマーカーで散布図を重なりを見やすく描画する	plt.plot(xdata, ydata, c='lavender', alpha=0.5)
リストxdataとリストydataの折れ線グラフに、赤い三角マーカーを描画する	plt.plot(xdata, ydata, marker='^', markerfacecolor='r')
データフレームdfのカラムcol中の欠損値の合計を数える	df[col].isna().sum()
リストxdataをオリベドラブ色のヒストグラムで描画する	plt.hist(xdata, color='olivedrab')
リストxdataとリストydataについてアンティークホワイト色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='antiquewhite')
線幅nの点線グラフを描画する	plt.plot(xdata, ydata, linestyle='dotted', linewidth=n)
リストxdataとリストydataについて散布図を描画して、マーカーの色をミディアムシアグリーンに設定する	plt.plot(xdata, ydata, c='mediumseagreen')
散布図にスラグレー色のマーカーを使う	plt.plot(xdata, ydata, c='slategrey')
ライトサーモン色のマーカーで散布図を描画する	plt.plot(xdata, ydata, c='lightsalmon')
日時dtと日時dt2の時間差が何分か知る	(dt - dt2).total_seconds()//60
データフレームdf中のカラムcolを中央値でビン分割する	pd.qcut(df[col], 2)
データフレームを表示するとき、表示可能な最大行数をnに設定する	pd.set_option('display.max_rows', n)
オブジェクトobjは整数クラスか調べる	isinstance(obj, int)
オプションで、先頭のカラムをインデックスに設定する	index_col = 0
リストxdataとリストydataについて破線グラフを描画して、その色をグリーンイエローに設定する	plt.plot(xdata, ydata, linestyle='dash', color='greenyellow')
データフレームを表示するとき、小数点以下の表示精度をn桁に設定する	pd.set_option('precision', n)
破線グラフの色をレベッカパープルに設定する	plt.plot(xdata, ydata, linestyle='dash', color='rebeccapurple')
折れ線グラフの色を紺碧に設定する	plt.plot(xdata, ydata, color='azure')
Pythonのバージョン	sys.version
リストalistを逆順にする	alist[::-1]
データフレームdfの重複していない行のみを抽出する	df[not df.duplicated(keep=False)]
ミディアムスレートブルー色のマーカーで散布図を重なりを見やすく描画する	plt.plot(xdata, ydata, c='mediumslateblue', alpha=0.5)
sのの中で大文字・小文字を無視したパターンpatternにマッチした文字列をreplで置き換える	re.sub(pattern, repl, s, flags=re.IGNORECASE)
リストxdataとリストydataについて破線グラフを描画して、その色をミントクリームに設定する	plt.plot(xdata, ydata, linestyle='dash', color='mintcream')
文字列elementがリストalistに含まれないか調べる	element not in alist
散布図に赤い左三角マーカーを使う	plt.plot(xdata, ydata, marker='<', c='r')
日付adateにn月分、加算する	adate + datetime.timedelta(months=n)
折れ線グラフの色をダークレッドに設定する	plt.plot(xdata, ydata, color='darkred')
カーキ色でリストxdataについてのヒストグラムを描画する	plt.hist(xdata, color='khaki')
リストxdataとリストydataについてライトスレイグレー色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='lightslategrey')
リストxdataとリストydataについてミディアムオーキッド色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='mediumorchid')
リストxdataとリストydataについての散布図をフクシア色で描画する	plt.plot(xdata, ydata, c='fuchsia')
データフレームdf中の欠損値を削除する	df.dropna()
ダークシアン色のマーカーで散布図を描画する	plt.plot(xdata, ydata, c='darkcyan')
一点鎖線グラフの線幅をnに設定する	plt.plot(xdata, ydata, linestyle='dashbot', linewidth=n)
リストxdataとリストydataについての散布図をミスティローズ色で描画する	plt.plot(xdata, ydata, c='mistyrose')
ダークゴールデンロッド色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='darkgoldenrod')
スカイブルー色でリストxdataについてのヒストグラムを描画する	plt.hist(xdata, color='skyblue')
右三角マーカーで散布図を描画する	plt.plot(xdata, ydata, marker='>')
nをn2だけ増加させる	n += n2
日付adateの日数	adate.day
データフレームdfのカラムcolを丸めて、整数型にする	df[col].round().astype(int)
sを太字にする	f'\033[1m{s}\033[0m'
オプションで、改行コードを旧Macに設定する	newline = '\r'
折れ線グラフのマーカーをバツに設定する	plt.plot(xdata, ydata, marker='x')
データフレームdfのカラムcolが何日か見る	df[col].dt.day
Pandasで、フォーマットでsを日付データに変換する	pd.to_datetime(s, format='%Y-%m-%d')
